,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
76-19-3,76,19,3,"The world's best-known inselberg, and perhaps its most spectacular, is located within Australia's Northern Territory. What is its name?",ULURU/AYERS ROCK,GEOGRAPHY,88,80,68,54,34,48,58,3.4,1.7
76-19-4,76,19,4,"What beloved TV detective was first introduced in the 1960 anthology series The Chevy Mystery Show in an episode titled ""Enough Rope""? This title hints at the sleuth's methods:  appear slow-witted, keep asking questions (""just one more thing...""), and give the perp enough rope to hang himself with his own self-incrimination.",COLUMBO,TELEVISION,91,83,76,67,50,60,68,3.4,1.4
76-19-5,76,19,5,"The conflict known in much of the Arab world as the ""War of 1967"" (حرب ۱۹٦۷), which took place between June 5 and June 10 of that year, is best known in the Western world by what name?",SIX-DAY WAR,WORLD HIST,94,87,80,69,50,61,71,3.4,1.4
76-19-6,76,19,6,"Name any one of the nine largest companies headquartered in Europe, as measured by annual revenue.","ALLIANZ, AXA, BP, DAIMLER, EXOR, GLENCORE, ROYAL DUTCH SHELL, TOTAL, VOLKSWAGEN",BUS/ECON,59,44,38,32,26,35,37,3.4,1.3
76-20-1,76,20,1,"According to legend, a savage giant named Polyphemus shut Odysseus and his 12 companions in a cave with a rock-blocked entrance before getting drunk, getting himself blinded, and letting the Greek hero sneak out by clinging to a sheep's belly. Polyphemus was a particular type of giant known by what term?",CYCLOPS,LITERATURE,98,95,92,88,79,87,89,3.3,1.2
76-20-2,76,20,2,"The origin of the phrase ""Me Too"" (in the context of pervasive sexual abuse in society) is credited to civil rights activist Tarana Burke, whereas its popularization is credited to what actress (and activist in her own right) who used the phrase and sparked the campaign on Twitter in October 2017?",ALYSSA MILANO,CURR EVENTS,47,37,27,24,18,27,28,3.3,1.2
76-20-3,76,20,3,"What term, first used in the 1950s and whose usage has grown steadily since, is used for a process of injecting high-pressure liquid to recover gas and oil from shale rock?",FRACKING,SCIENCE,100,99,99,99,97,96,98,3.3,0.7
76-20-4,76,20,4,"Jimmie Rodgers, Webb Pierce, Lefty Frizzell, George Jones, and Hank Williams were all pioneers of what style of music, a subgenre of what came to be known as country music? The etymology of the term in question—which is also used for the establishments where the music was played—is unknown, but could plausibly refer onomatopoeically to the noise generated by the music in these bars.",HONKY TONK,POP MUSIC,96,92,88,81,67,76,81,3.3,1.7
76-20-5,76,20,5,"The period of Chinese history immediately following the end of the Han dynasty in 220 CE, during which battles for supremacy were fought among the Wei in the north, the Wu in the southeast, and the Shu Han in the west, is known by what name?",THREE KINGDOMS,WORLD HIST,45,30,24,16,9,16,21,3.3,2.4
76-20-6,76,20,6,Pictured here is a meal from what fast food restaurant? Click here,JACK IN THE BOX,FOOD/DRINK,63,53,50,49,46,48,51,3.3,1.5
76-21-1,76,21,1,"Name the cocktail that gets its name simply from its appearance and ingredients, and is not related to supporters of the Tsarist regime who fought against the Soviet Red Army during the late 1910s and early 1920s (as one might reasonably suppose).",WHITE RUSSIAN,WORLD HIST,94,92,88,84,74,81,84,4.5,0.6
76-21-2,76,21,2,A Negro League baseball star who is actually an alien; an EMT who can regenerate body parts and subsists on cancerous tumors; eugenically developed identical girls created as supersoldiers by the U.S. military: These are among the storylines from what TV series?,THE X-FILES,TELEVISION,72,63,60,55,47,57,58,4.5,1.1
76-21-3,76,21,3,"Any statuette of the Late Stone Age period depicting a woman—such as those found in Willendorf, Austria; the Hohle Fels cave in Germany; Brassempouy, France; Lespugue, France; and Moravany nad Váhom, Slovakia, has typically been given what name upon its discovery?",VENUS,ART,71,57,45,31,18,33,39,4.5,2.0
76-21-4,76,21,4,"The ""slave narrative"" was a popular form of literature in the 18th and 19th centuries, and probably the most widely read work of the form was Narrative of the Life of what man, who wrote it in 1845 (while technically still a fugitive) and subsequently founded the abolitionist journal the North Star?",FREDERICK DOUGLASS,LITERATURE,92,85,81,75,62,74,77,4.5,1.3
76-21-5,76,21,5,"Whereas placental mammals have separate digestive and urogenital openings, the majority of vertebrates—including most reptiles, amphibians, and birds—have a single posterior chamber into which the digestive, urinary, and reproductive tracts all enter. What is the term for this orifice?",CLOACA,SCIENCE,69,60,51,40,26,37,44,4.5,1.9
76-21-6,76,21,6,"What pop music group scored hits in the United States during the 1970s with ""Saturday Night,"" ""Money Honey,"" and ""You Made Me Believe in Magic""? They were ""tartan teen sensations from Edinburgh"" and not from a place like San Francisco, Tampa, Norfolk, Monterey, Mobile, or the like (though they were named after a small city in Michigan—apparently randomly).",BAY CITY ROLLERS,POP MUSIC,83,68,58,45,27,42,50,4.5,1.8
76-22-1,76,22,1,"The first king of Scots, a mononymous New York hairdresser who died in 2013, the intended (or perceived) target of a 1986 assault on Dan Rather, and the top-selling instrumental artist in music history all share what name?",KENNETH,LIFESTYLE,90,77,67,54,34,47,58,3.1,1.8
76-22-2,76,22,2,"Although the nations are nearly equal in population, which nation on the island of Hispaniola is the larger in land area?",DOMINICAN REPUBLIC,GEOGRAPHY,89,82,78,70,59,67,72,3.1,1.4
76-22-3,76,22,3,"Raspberry, cherry, grape, lemon, orange, and root-beer were the original six flavors of what drink, which was developed in 1927 and is now owned by Kraft Foods? Currently available flavors include tropical punch, strawberry, mixed berry, black cherry, and—oh yeah!—blue raspberry lemonade.",KOOL-AID,FOOD/DRINK,94,91,89,86,80,84,86,3.1,0.6
76-22-4,76,22,4,"When originally proposed in 1960, the ""marketing mix"" of business consisted of the ""Four Ps."" The first three are product, place, and price—what is the fourth?",PROMOTION,BUS/ECON,53,42,34,30,24,34,34,3.1,2.0
76-22-5,76,22,5,The object in this image is a simple version of a scientific instrument with what technical name? Click here,SEISMOMETER/SEISMOGRAPH,SCIENCE,90,88,84,80,70,76,80,3.1,1.4
76-22-6,76,22,6,"On the game show Family Feud, what is the name for the segment of gameplay at the end, in which two members of the winning family take turns answering the same five questions with the goal of earning a combined total of 200 points?",FAST MONEY,TELEVISION,56,42,32,27,25,29,33,3.1,1.6
76-23-1,76,23,1,"According to an announcement by its publisher, Epic Games, in October 2017, the standalone free-to-play ""battle royale"" version of what hit survival video game tallied 10 million players in its first two weeks?",FORTNITE,GAMES/SPORT,38,35,30,29,30,34,32,3.4,1.2
76-23-2,76,23,2,What was the last name of the husband-and-wife team who designed these items? Click here,EAMES,ART,62,51,45,36,27,33,40,3.4,2.0
76-23-3,76,23,3,"The ""Eastern Question,"" a diplomatic issue that arose in the late 18th century and was ultimately settled after World War I, revolved around the economic and political instability—and seemingly imminent disintegration—of what fading world power?",OTTOMAN EMPIRE,WORLD HIST,91,82,77,68,56,63,70,3.4,1.2
76-23-4,76,23,4,"Kanagawa, Aichi, Saitama, Chiba, and Fukuoka are among the 47 administrative subdivisions of Japan that are known by what term, roughly equivalent to a U.S. state or Canadian province?",PREFECTURE,GEOGRAPHY,92,84,79,66,47,58,68,3.4,1.5
76-23-5,76,23,5,"What was the stage name of the artist, now known as Sananda Maitreya, whose audacious self-titled debut album from 1987 included the singles ""If You Let Me Stay,"" ""Wishing Well,"" and ""Sign Your Name""?",TERENCE TRENT D'ARBY,POP MUSIC,54,38,30,22,15,22,28,3.4,1.8
76-23-6,76,23,6,"Terylene and Dacron are trade names for the world's most widely produced synthetic fiber, which, with regard to textiles, is best known by what common name?",POLYESTER,SCIENCE,72,66,63,60,55,65,62,3.4,0.9
76-24-1,76,24,1,"Panaji is the capital of what Indian state, a center of international tourism and a former Portuguese territory that is both India's smallest state and its wealthiest (by per capita GDP)?",GOA,GEOGRAPHY,76,63,52,39,23,38,45,3.3,1.8
76-24-2,76,24,2,"On Herbie Hancock's landmark 1964 LP Empyrean Isles is a track called ""Oliloqui Valley,"" but no such valley appears on any map. Likewise, another track on the album refers to a nonexistent island named after what fruit?",CANTALOUPE,POP MUSIC,31,21,14,9,6,14,14,3.3,2.1
76-24-3,76,24,3,"Facing the growing nuclear threat from North Korea, President Trump stated in August 2017 that ""They will be met with ________ like the world has never seen.""  What three words fill in the blank, which are also the title of a book published in January 2018?",FIRE AND FURY,LITERATURE,96,93,91,87,81,87,88,3.3,0.4
76-24-4,76,24,4,"Collectively, the semitendinosus, semimembranosus, and biceps femoris muscles are commonly referred to as what plural noun?",HAMSTRINGS,SCIENCE,53,39,31,24,15,27,29,3.3,1.3
76-24-5,76,24,5,The card pictured here was printed for use in what game? Click here,SORRY!,GAMES/SPORT,62,54,51,45,41,45,48,3.3,1.6
76-24-6,76,24,6,"Jerry Lewis and Tim Meadows both portrayed the lead characters in films—from 1961 and 2000, respectively—that, though very different in plot and style (and reception), shared what title?",THE LADIES MAN,FILM,71,59,53,47,38,44,50,3.3,1.4
76-25-1,76,25,1,"""The story you are about to see is true. The names have been changed to protect the innocent.﻿"" This quote has often been reused and parodied, but it (or variations of it) was used first, and most famously, on what police procedural drama series?",DRAGNET,TELEVISION,85,75,65,53,33,47,56,3.8,1.1
76-25-2,76,25,2,"The Great Pyramid of Giza, the oldest and largest of the six pyramids in the Giza complex, is generally believed to have been commissioned by Khufu, a ruler during the Fourth Dynasty in the 26th century BCE. Khufu was known to the Greeks, and is still widely referred to in the West, by what other name?",CHEOPS,WORLD HIST,70,51,36,20,8,22,30,3.8,1.8
76-25-3,76,25,3,"Vermilion, Iroquois, Kankakee, Clark, and Wabash are among the counties that run along the eastern boundary of what U.S. state?",ILLINOIS,GEOGRAPHY,66,55,52,46,35,41,47,3.8,1.6
76-25-4,76,25,4,The majority of the thousands of living species in the phylum known as Annelid are commonly referred to as what?,WORMS,SCIENCE,78,60,47,37,21,36,43,3.8,1.8
76-25-5,76,25,5,"The bakeware pictured here has what name, which was trademarked by the Nordic Ware company of Minnesota in 1950? Click here",BUNDT PAN,FOOD/DRINK,91,86,83,80,75,79,82,3.8,1.2
76-25-6,76,25,6,"The graph of the function y = x2 forms what type of curve, first defined by ancient Greek mathematician Apollonius of Perga?",PARABOLA,MATH,88,83,80,77,70,67,76,3.8,1.2
77-1-1,77,1,1,"When dissolved in water, the chemical compound sodium hypochlorite (NaOCl) forms a solution commonly known as what?",(LIQUID/HOUSEHOLD) BLEACH,SCIENCE,62,47,37,29,21,27,35,5.9,1.2
77-1-2,77,1,2,"A popular children's book by P.D. Eastman details the activities of a set of anthropomorphic canines—big, little, red, blue, yellow, etc.—who operate various means of transport, some while wearing hats, as they go about the day, ultimately ending up at a big party. What is the title of this book?","GO, DOG. GO!",LITERATURE,54,48,40,35,26,32,37,5.9,1.6
77-1-3,77,1,3,"A predecessor to what still-active rock band was formed by its pre-teen founders as ""The Broken Combs"" way back in 1964? Coincidentally, this is the same year that Roy Orbison's ""Oh, Pretty Woman"" and The Kinks' ""You Really Got Me"" were released as singles.",VAN HALEN,POP MUSIC,63,45,34,25,17,18,31,5.9,1.6
77-1-4,77,1,4,There are three NCAA Division I hockey teams whose universities are located in Michigan's Upper Peninsula. One is Northern Michigan; name either of the other two.,"LAKE SUPERIOR STATE, MICHIGAN TECH",GAMES/SPORT,40,29,22,19,13,16,22,5.9,1.8
77-1-5,77,1,5,"Supporters of the Parliament during the English Civil War of the mid-17th century were known by what derogatory name, so called due to their close-cropped hair (contrasting with the long hair of the Royalists/Cavaliers)?",ROUNDHEADS,WORLD HIST,78,63,51,34,16,30,41,5.9,1.7
77-1-6,77,1,6,"Darrell Hammond, Norm Macdonald, Rob Riggle, George Hamilton, Rob Lowe, and Reba McEntire are among the actors who have appeared in television ads portraying what corporate mascot?",COLONEL SANDERS,TELEVISION,88,82,76,73,65,64,74,5.9,0.6
77-2-1,77,2,1,"A Bantu dialect term for ""okra"" and a Choctaw word for ""filé"" are possible (and appropriate) origins for the name of what dish?",GUMBO,FOOD/DRINK,83,77,68,55,41,52,60,5.8,1.2
77-2-2,77,2,2,"What Chicagoan dance lord became, in 1975, the first American to secure a title at the Oireachtas Rince na Cruinne (Irish Dancing World Championships)?",MICHAEL FLATLEY,THEATRE,87,79,67,55,41,46,60,5.8,1.8
77-2-3,77,2,3,"In early May 2018, what company, with its parent company SCL Group, ceased operations, following a scandal relating to its acquisition and use of personal data about Facebook users?",CAMBRIDGE ANALYTICA,CURR EVENTS,97,94,92,89,80,85,89,5.8,0.5
77-2-4,77,2,4,"What island and external federal territory of Australia was visited, and named, by English sea captain William Mynors in December 1643?",CHRISTMAS ISLAND,GEOGRAPHY,61,40,28,18,8,16,25,5.8,1.5
